Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Fixed broadband subscriptions,IT.NET.BBND,Afghanistan,AFG,..,..,7070,8800,9180,16000,19700,26600,26600,32299.9999999999,33200,..
Fixed broadband subscriptions,IT.NET.BBND,Albania,ALB,..,..,243000,266000,304000,362000,436000,509000,559000,585000,632000,..
Fixed broadband subscriptions,IT.NET.BBND,Algeria,DZA,..,..,2270000,2860000,3210000,3070000,3580000,3790000,4179999.99999999,4710000,5540000,..
Fixed broadband subscriptions,IT.NET.BBND,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Andorra,AND,..,..,30700,32500,34300,35700,36400,37700,39400,40800,41800,..
Fixed broadband subscriptions,IT.NET.BBND,Angola,AGO,..,..,154000,84700,96900,110000,119000,122000,135000,138000,137000,..
Fixed broadband subscriptions,IT.NET.BBND,Antigua and Barbuda,ATG,..,..,10000,9260,9000,..,8000,8000,8000,9920,..,..
Fixed broadband subscriptions,IT.NET.BBND,Argentina,ARG,..,..,6860000,7250000,7840000,8470000,8790000,9570000,10500000,11200000,11500000,..
Fixed broadband subscriptions,IT.NET.BBND,Armenia,ARM,..,..,286000,299000,315000,347000,386000,430000,467000,511000,546000,..
Fixed broadband subscriptions,IT.NET.BBND,Aruba,ABW,..,..,19000,..,..,..,19000,19000,19000,18800,..,..
Fixed broadband subscriptions,IT.NET.BBND,Australia,AUS,..,..,6830000,7370000,7920000,8430000,8800000,9100000,9300000,9580000,9630000,..
Fixed broadband subscriptions,IT.NET.BBND,Austria,AUT,..,191000,2460000,2520000,2510000,2520000,2520000,2610000,2620000,2650000,2710000,..
Fixed broadband subscriptions,IT.NET.BBND,Azerbaijan,AZE,..,..,1900000,1800000,1810000,1890000,1940000,2000000,2060000,2100000,2150000,..
Fixed broadband subscriptions,IT.NET.BBND,"Bahamas, The",BHS,..,..,81000,85100,86900,81200,82300,83000,82200,84000,95100,..
Fixed broadband subscriptions,IT.NET.BBND,Bahrain,BHR,..,..,253000,232000,194000,126000,141000,151000,248000,276000,268000,..
Fixed broadband subscriptions,IT.NET.BBND,Bangladesh,BGD,..,..,4890000,6590000,7300000,8050000,8090000,10100000,11100000,12100000,12900000,..
Fixed broadband subscriptions,IT.NET.BBND,Barbados,BRB,..,..,78300,86900,89300,89300,107000,128000,103000,106000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Belarus,BLR,..,..,2900000,3070000,3160000,3200000,3210000,3260000,3240000,3130000,3200000,..
Fixed broadband subscriptions,IT.NET.BBND,Belgium,BEL,..,144000,4120000,4270000,4380000,4500000,4590000,4730000,4980000,5070000,5120000,..
Fixed broadband subscriptions,IT.NET.BBND,Belize,BLZ,..,..,17400,18400,19000,24700,29600,36000,36000,39300,..,..
Fixed broadband subscriptions,IT.NET.BBND,Benin,BEN,..,..,73300,22300,28600,27000,25400,30000,20700,21100,24100,..
Fixed broadband subscriptions,IT.NET.BBND,Bermuda,BMU,..,..,30000,22800,22800,..,23000,23000,23000,23000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Bhutan,BTN,..,..,27900,16500,16700,10800,8770,3190,2830,4930,10400,..
Fixed broadband subscriptions,IT.NET.BBND,Bolivia,BOL,..,..,181000,288000,380000,504000,747000,932000,1130000,1330000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Bosnia and Herzegovina,BIH,..,27,635000,662000,700000,716000,746000,770000,798000,876000,908000,..
Fixed broadband subscriptions,IT.NET.BBND,Botswana,BWA,..,..,36800,59100,32400,40000,49000,84800,133000,111000,84600,..
Fixed broadband subscriptions,IT.NET.BBND,Brazil,BRA,..,100000,25500000,26900000,28900000,31200000,32900000,36300000,41600000,45300000,48400000,..
Fixed broadband subscriptions,IT.NET.BBND,British Virgin Islands,VGB,..,..,6660,6220,5000,4720,5930,7090,7900,6820,..,..
Fixed broadband subscriptions,IT.NET.BBND,Brunei Darussalam,BRN,..,..,34400,36100,41100,49500,54200,71100,79400,90200,92800,..
Fixed broadband subscriptions,IT.NET.BBND,Bulgaria,BGR,..,..,1610000,1700000,1800000,1900000,2009999.99999999,2120000,2250000,2390000,2450000,..
Fixed broadband subscriptions,IT.NET.BBND,Burkina Faso,BFA,..,..,9350,12400,12400,13800,12000,14000,16300,15100,..,..
Fixed broadband subscriptions,IT.NET.BBND,Burundi,BDI,..,..,2770,3250,3910,3940,3890,4230,3950,4010,2790,..
Fixed broadband subscriptions,IT.NET.BBND,Cabo Verde,CPV,..,..,16600,15500,15000,15700,20300,24800,30500,34100,37800,..
Fixed broadband subscriptions,IT.NET.BBND,Cambodia,KHM,..,..,83500,97600,134000,166000,184000,234000,336000,510000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Cameroon,CMR,..,..,20400,365000,382000,396000,401000,723000,601000,603000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Canada,CAN,..,1410000,13100000,13400000,13900000,14400000,15100000,15600000,16000000,16399999.9999999,17000000,..
Fixed broadband subscriptions,IT.NET.BBND,Cayman Islands,CYM,..,..,27400,24500,31200,..,51000,32000,32000,40300,..,..
Fixed broadband subscriptions,IT.NET.BBND,Central African Republic,CAF,..,..,1860,736,619,608,499,..,499,820,..,..
Fixed broadband subscriptions,IT.NET.BBND,Chad,TCD,..,..,11300,5130,331,334,68,0,0,0,..,..
Fixed broadband subscriptions,IT.NET.BBND,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Chile,CHL,..,7680,2720000,2900000,3060000,3250000,3430000,3760000,4280000,4450000,4520000,..
Fixed broadband subscriptions,IT.NET.BBND,China,CHN,..,22700,277000000,323000000,394000000,407000000,449000000,484000000,536000000,590000000,636000000,..
Fixed broadband subscriptions,IT.NET.BBND,Colombia,COL,..,8870,5530000,5910000,6330000,6680000,6950000,7760000,8430000,8800000,8910000,..
Fixed broadband subscriptions,IT.NET.BBND,Comoros,COM,..,..,1600,1630,1640,1530,1280,1190,1230,1830,3300,..
Fixed broadband subscriptions,IT.NET.BBND,"Congo, Dem. Rep.",COD,..,..,1000,1000,1000,4620,11900,31000,31000,33000,..,..
Fixed broadband subscriptions,IT.NET.BBND,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,15100,26300,78400,..
Fixed broadband subscriptions,IT.NET.BBND,Costa Rica,CRI,..,..,559000,639000,744000,835000,905000,993000,1060000,1110000,1150000,..
Fixed broadband subscriptions,IT.NET.BBND,Cote d'Ivoire,CIV,..,..,110000,136000,143000,176000,217000,261000,335000,380000,425000,..
Fixed broadband subscriptions,IT.NET.BBND,Croatia,HRV,..,..,986000,1040000,1100000,1130000,1150000,1030000,1050000,1080000,1110000,..
Fixed broadband subscriptions,IT.NET.BBND,Cuba,CUB,..,..,8160,14400,33500,98800,183000,232000,297000,320000,327000,..
Fixed broadband subscriptions,IT.NET.BBND,Curacao,CUW,..,..,40000,42700,49300,51800,53300,58500,60400,61000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Cyprus,CYP,..,..,261000,278000,296000,314000,327000,332000,341000,349000,357000,..
Fixed broadband subscriptions,IT.NET.BBND,Czechia,CZE,..,2500,2950000,3070000,3150000,3220000,3740000,3850000,3950000,4030000,4099999.99999999,..
Fixed broadband subscriptions,IT.NET.BBND,Denmark,DNK,..,67000,2400000,2460000,2510000,2540000,2540000,2590000,2630000,2650000,2650000,..
Fixed broadband subscriptions,IT.NET.BBND,Djibouti,DJI,..,4,24200,24300,24400,25500,24400,25100,15600,16100,17000,..
Fixed broadband subscriptions,IT.NET.BBND,Dominica,DMA,..,80,15200,15500,15400,11500,15200,18300,14100,13900,..,..
Fixed broadband subscriptions,IT.NET.BBND,Dominican Republic,DOM,..,..,686000,761000,821000,861000,930000,1030000,1150000,1200000,1260000,..
Fixed broadband subscriptions,IT.NET.BBND,Ecuador,ECU,..,..,1490000,1610000,1780000,1950000,2089999.99999999,2370000,2480000,2690000,2890000,..
Fixed broadband subscriptions,IT.NET.BBND,"Egypt, Arab Rep.",EGY,..,..,3830000,4470000,5230000,6620000,7570000,9340000,10800000,12000000,13600000,..
Fixed broadband subscriptions,IT.NET.BBND,El Salvador,SLV,..,..,353000,395000,451000,492000,525000,586000,613000,671000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Equatorial Guinea,GNQ,..,..,3800,3380,1900,1620,1000,1840,1720,1820,..,..
Fixed broadband subscriptions,IT.NET.BBND,Eritrea,ERI,..,..,500,600,1000,..,3000,5000,5000,5640,..,..
Fixed broadband subscriptions,IT.NET.BBND,Estonia,EST,..,..,390000,414000,428000,441000,449000,456000,498000,514000,516000,..
Fixed broadband subscriptions,IT.NET.BBND,Eswatini,SWZ,..,..,6000,7000,15500,21900,24100,27300,30800,26600,33800,..
Fixed broadband subscriptions,IT.NET.BBND,Ethiopia,ETH,..,..,478000,559000,63000,..,159000,212000,488000,566000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Faroe Islands,FRO,..,..,17800,18000,18000,18200,18200,18400,18400,18700,..,..
Fixed broadband subscriptions,IT.NET.BBND,Fiji,FJI,..,..,12700,12300,12100,19100,21500,23100,23100,23300,..,..
Fixed broadband subscriptions,IT.NET.BBND,Finland,FIN,..,35000,1730000,1710000,1710000,1740000,1800000,1850000,1860000,1910000,1980000,..
Fixed broadband subscriptions,IT.NET.BBND,France,FRA,..,197000,26900000,27700000,28500000,29100000,29800000,30600000,31500000,32000000,32299999.9999999,..
Fixed broadband subscriptions,IT.NET.BBND,French Polynesia,PYF,..,..,51900,55400,57700,59800,62000,64000,74800,78300,..,..
Fixed broadband subscriptions,IT.NET.BBND,Gabon,GAB,..,..,11100,15000,14700,21100,24400,44600,63000,80300,..,..
Fixed broadband subscriptions,IT.NET.BBND,"Gambia, The",GMB,..,..,3570,3750,4000,4430,5000,5000,5000,5690,..,..
Fixed broadband subscriptions,IT.NET.BBND,Georgia,GEO,..,..,636000,681000,776000,857000,937000,968000,1010000,1080000,1100000,..
Fixed broadband subscriptions,IT.NET.BBND,Germany,DEU,..,265000,30700000,31900000,33200000,34200000,35200000,36200000,36900000,37500000,38400000,..
Fixed broadband subscriptions,IT.NET.BBND,Ghana,GHA,..,..,73100,86600,56800,61300,58500,78400,115000,207000,223000,..
Fixed broadband subscriptions,IT.NET.BBND,Gibraltar,GIB,..,..,15600,16400,17400,19000,19500,21000,22100,22900,..,..
Fixed broadband subscriptions,IT.NET.BBND,Greece,GRC,..,..,3440000,3620000,3780000,3960000,4110000,4260000,4440000,4470000,4480000,..
Fixed broadband subscriptions,IT.NET.BBND,Greenland,GRL,..,..,10000,..,12200,13500,14600,15700,16800,17900,..,..
Fixed broadband subscriptions,IT.NET.BBND,Grenada,GRD,..,..,19800,20800,22200,27000,31800,32000,30500,34800,..,..
Fixed broadband subscriptions,IT.NET.BBND,Guam,GUM,..,..,..,..,..,..,3000,3000,3000,3040,..,..
Fixed broadband subscriptions,IT.NET.BBND,Guatemala,GTM,..,..,460000,506000,531000,..,585000,612000,612000,897000,921000,..
Fixed broadband subscriptions,IT.NET.BBND,Guinea,GIN,..,..,1000,1100,1130,1210,1250,1000,1000,882,..,..
Fixed broadband subscriptions,IT.NET.BBND,Guinea-Bissau,GNB,..,..,1050,886,853,1200,1230,2380,3300,4620,6690,..
Fixed broadband subscriptions,IT.NET.BBND,Guyana,GUY,..,..,53700,57200,64900,..,83000,95000,95000,106000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Haiti,HTI,..,..,1350,1350,29900,31100,31100,31000,31000,35300,..,..
Fixed broadband subscriptions,IT.NET.BBND,Honduras,HND,..,..,197000,220000,238000,355000,390000,397000,421000,461000,476000,..
Fixed broadband subscriptions,IT.NET.BBND,"Hong Kong SAR, China",HKG,..,444000,2350000,2630000,2660000,2710000,2800000,2890000,2940000,2980000,2970000,..
Fixed broadband subscriptions,IT.NET.BBND,Hungary,HUN,..,3400,2720000,2810000,2960000,3080000,3190000,3270000,3380000,3540000,3560000,..
Fixed broadband subscriptions,IT.NET.BBND,Iceland,ISL,..,2360,124000,128000,135000,138000,139000,142000,143000,142000,145000,..
Fixed broadband subscriptions,IT.NET.BBND,India,IND,..,..,16900000,18700000,17900000,18200000,19200000,23000000,27600000,33500000,39300000,..
Fixed broadband subscriptions,IT.NET.BBND,Indonesia,IDN,..,4000,3980000,5230000,6220000,8870000,10300000,10800000,12400000,13400000,13500000,..
Fixed broadband subscriptions,IT.NET.BBND,"Iran, Islamic Rep.",IRN,..,176,6610000,7610000,8600000,9810000,8630000,9560000,10700000,10900000,10900000,..
Fixed broadband subscriptions,IT.NET.BBND,Iraq,IRQ,..,..,..,..,4290000,4490000,4560000,6250000,6390000,6390000,7770000,..
Fixed broadband subscriptions,IT.NET.BBND,Ireland,IRL,..,..,1310000,1360000,1400000,1430000,1460000,1520000,1580000,1610000,1650000,..
Fixed broadband subscriptions,IT.NET.BBND,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Israel,ISR,..,..,2170000,2260000,2340000,2440000,2480000,2600000,2660000,2660000,2760000,..
Fixed broadband subscriptions,IT.NET.BBND,Italy,ITA,..,115000,14900000,15600000,16600000,17200000,17500000,18100000,18700000,18600000,20100000,..
Fixed broadband subscriptions,IT.NET.BBND,Jamaica,JAM,..,..,229000,286000,239000,285000,318000,386000,414000,425000,448000,..
Fixed broadband subscriptions,IT.NET.BBND,Japan,JPN,..,855000,38900000,39800000,40500000,41500000,42500000,44000000,45200000,46100000,47900000,..
Fixed broadband subscriptions,IT.NET.BBND,Jordan,JOR,..,..,310000,297000,332000,400000,457000,631000,715000,796000,805000,..
Fixed broadband subscriptions,IT.NET.BBND,Kazakhstan,KAZ,..,..,2300000,2350000,2580000,2460000,2510000,2620000,2750000,2900000,3590000,..
Fixed broadband subscriptions,IT.NET.BBND,Kenya,KEN,..,..,135000,133000,288000,371000,491000,674000,789000,1040000,1320000,..
Fixed broadband subscriptions,IT.NET.BBND,Kiribati,KIR,..,..,117,110,111,87,105,185,111,90,440,..
Fixed broadband subscriptions,IT.NET.BBND,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
